count,outcome,n,pct_within_count
0-0,1B,29171,0.13452466047176553
0-0,2B,8034,0.03704950540708801
0-0,3B,628,0.0028960778436210198
0-0,BB,16724,0.07712421314764002
0-0,BIP_out,84748,0.3908229380433028
0-0,HBP,1928,0.00889114344347345
0-0,HR,5650,0.02605547741474325
0-0,Other_raw,29317,0.1351979524545182
0-0,SO,40645,0.18743803177384769
0-1,1B,13650,0.1440754892233645
0-1,2B,3567,0.03764961685419349
0-1,3B,276,0.002913174727153744
0-1,BB,5342,0.05638470794367862
0-1,BIP_out,40029,0.4225053302653522
0-1,HBP,948,0.01000612188891938
0-1,HR,2305,0.024329230964091956
0-1,Other_raw,778,0.008211775136687003
0-1,SO,27847,0.29392455299655906
0-2,1B,4596,0.11544547989249203
0-2,2B,1156,0.02903720077365552
0-2,3B,89,0.002235563035341991
0-2,BB,1513,0.038004571600813844
0-2,BIP_out,13335,0.33495767501444323
0-2,HBP,356,0.008942252141367964
0-2,HR,675,0.016955112908492626
0-2,Other_raw,238,0.005978247218105549
0-2,SO,17853,0.44844389741528723
1-0,1B,10283,0.1441730693735629
1-0,2B,2940,0.04122034658740396
1-0,3B,238,0.0033368851999327014
1-0,BB,11068,0.15517918232292074
1-0,BIP_out,30569,0.42859346082665023
1-0,HBP,544,0.0076271661712747464
1-0,HR,2232,0.03129381414390668
1-0,Other_raw,652,0.009141382984689585
1-0,SO,12798,0.17943469238965845
1-1,1B,10045,0.13761782113108287
1-1,2B,2707,0.037086256028057867
1-1,3B,229,0.0031373301183691363
1-1,BB,7158,0.09806554142919773
1-1,BIP_out,30368,0.41604559403770275
1-1,HBP,600,0.008220078912757563
1-1,HR,1922,0.026331652783866726
1-1,Other_raw,514,0.007041867601928978
1-1,SO,19449,0.2664538579570364
1-2,1B,6218,0.11210067065695536
1-2,2B,1561,0.028142352347299344
1-2,3B,141,0.002542006201773996
1-2,BB,3519,0.06344198456767866
1-2,BIP_out,18801,0.3389521886493113
1-2,HBP,410,0.00739164923920098
1-2,HR,1050,0.018929833417465926
1-2,Other_raw,295,0.005318381769668998
1-2,SO,23473,0.4231809331506454
2-0,1B,2823,0.11694767803140146
2-0,2B,883,0.03657980860847591
2-0,3B,78,0.003231285471643399
2-0,BB,7455,0.3088363229628402
2-0,BIP_out,8557,0.3544885869340072
2-0,HBP,135,0.005592609470152036
2-0,HR,715,0.02962011682339782
2-0,Other_raw,157,0.006503997680102738
2-0,SO,3336,0.1381995940179792
2-1,1B,4573,0.12281455619712636
2-1,2B,1337,0.03590707667517121
2-1,3B,110,0.0029542097488921715
2-1,BB,7298,0.19599838861286423
2-1,BIP_out,14253,0.38278501409963744
2-1,HBP,215,0.005774137236471062
2-1,HR,1046,0.028091849066738284
2-1,Other_raw,222,0.0059621324023096545
2-1,SO,8181,0.21971263596078958
2-2,1B,4663,0.10338787636911889
2-2,2B,1321,0.029289166777526496
2-2,3B,115,0.0025497760631457587
2-2,BB,5755,0.12759966298612035
2-2,BIP_out,14848,0.32920934770076715
2-2,HBP,256,0.005676023236220123
2-2,HR,938,0.020797303888962795
2-2,Other_raw,182,0.004035297769500244
2-2,SO,17024,0.3774555452086382
3-0,1B,470,0.060841423948220064
3-0,2B,147,0.019029126213592235
3-0,3B,13,0.0016828478964401295
3-0,BB,4961,0.6422006472491909
3-0,BIP_out,1340,0.17346278317152103
3-0,HBP,16,0.002071197411003236
3-0,HR,121,0.015663430420711975
3-0,Other_raw,19,0.002459546925566343
3-0,SO,638,0.08258899676375404
3-1,1B,1279,0.08498338870431894
3-1,2B,426,0.02830564784053156
3-1,3B,36,0.0023920265780730896
3-1,BB,6739,0.44777408637873756
3-1,BIP_out,4042,0.26857142857142857
3-1,HBP,45,0.002990033222591362
3-1,HR,367,0.024385382059800665
3-1,Other_raw,43,0.002857142857142857
3-1,SO,2073,0.1377408637873754
3-2,1B,2093,0.08112403100775194
3-2,2B,635,0.024612403100775195
3-2,3B,60,0.002325581395348837
3-2,BB,8162,0.3163565891472868
3-2,BIP_out,6925,0.26841085271317827
3-2,HBP,87,0.003372093023255814
3-2,HR,562,0.02178294573643411
3-2,Other_raw,56,0.0021705426356589145
3-2,SO,7220,0.27984496124031005
