pre_final_count,n_1B,n_2B,n_BB,n_BIP_out,n_HR,n_Other_raw,n_Others,n_SO,pct_within_count_1B,pct_within_count_2B,pct_within_count_BB,pct_within_count_BIP_out,pct_within_count_HR,pct_within_count_Other_raw,pct_within_count_Others,pct_within_count_SO,pct_overall_1B,pct_overall_2B,pct_overall_BB,pct_overall_BIP_out,pct_overall_HR,pct_overall_Other_raw,pct_overall_Others,pct_overall_SO
0-0,5238,1527,314,14150,1113,27887,550,0,0.10315287815829378,0.030071486244313595,0.006183658599027157,0.27865850056125563,0.021918509620118553,0.5491837176785679,0.010831249138423364,0,0.024159402241594023,0.007043033070430331,0.0014482726811493934,0.06526451731931183,0.005133527051335271,0.12862414095290808,0.0025367833587011668,0
0-1,3864,1007,208,11017,609,280,335,7,0.22300455935822705,0.05811738904599758,0.012004386218041207,0.6358284757892306,0.03514745772493796,0.016159750678132394,0.019333987418479828,4.0399376695330984e-4,0.017822056178220563,0.004644619713112864,9.593653429269867e-4,0.0508140768414741,0.0028089110280891103,0.0012914533462478669,0.0015451316821179836,3.228633365619667e-5
0-2,2052,487,185,5695,240,116,230,8326,0.1184005539207201,0.028099936529917487,0.01067451387686804,0.32860192718250536,0.013848018002423404,0.006693208701171312,0.013271017252322428,0.4804108245340719,0.009464508094645082,0.0022462063557953968,8.532816751994835e-4,0.02626723859600572,0.0011069600110696,5.350306720169734e-4,0.0010608366772750335,0.03840228771735621
1-0,2605,754,76,7321,616,241,184,0,0.22081885225057218,0.06391455454776639,0.006442315843010935,0.6205815037721455,0.0522166652538781,0.02042892260744257,0.015597185725184369,0,0.012015128453484618,0.003477699368110327,3.505373368387067e-4,0.03376689267100226,0.002841197361745307,0.0011115723444490569,8.486693418200267e-4,0
1-1,3356,929,143,9684,605,193,290,9,0.2206588204352686,0.06108225392859491,0.009402327569202446,0.6367282530080873,0.03977907817739496,0.012689854691301202,0.01906765730817279,5.917548819777763e-4,0.015478990821456574,0.004284857709515244,6.595636732623034e-4,0.044665836446658364,0.0027904616945712835,8.901803422351368e-4,0.0013375766800424334,4.1511000415110007e-5
1-2,3406,737,227,9747,470,192,307,13179,0.12050238811250663,0.02607465062798514,0.008031133911197594,0.34484344595789845,0.01662833893507872,0.00679285335220237,0.010861489474615248,0.46626569962851583,0.01570960749042941,0.0033992897006595636,0.0010469996771366634,0.04495641344956414,0.0021677966883446335,8.855680088556801e-4,0.001415986347493197,0.06078594160785942
2-0,795,285,20,2487,250,64,62,0,0.20060560181680545,0.07191521574564724,0.005046681806712087,0.627554882664648,0.06308352258390108,0.016149381781478678,0.01564471360080747,0,0.0036668050366680505,0.0013145150131451502,9.224666758913334e-5,0.011470873114708732,0.0011530833448641668,2.9518933628522667e-4,2.8596466952631334e-4,0
2-1,1853,541,40,5594,409,115,139,8,0.21301298999885043,0.06219105644326934,0.004598229681572595,0.6430624209679273,0.04701689849407978,0.013219910334521209,0.015978848143464765,9.196459363145189e-4,0.008546653752133204,0.002495272358286057,1.844933351782667e-4,0.025801392924680595,0.001886444352197777,5.304183386375167e-4,6.411143397444767e-4,3.6898667035653334e-5
2-2,3169,864,130,9828,527,145,264,11863,0.11829040686823442,0.0322508398656215,0.0048525569242254575,0.36685330347144457,0.01967151922359089,0.005412467338559164,0.009854423292273236,0.44281448301605075,0.014616484479498178,0.00398505603985056,5.996033393293667e-4,0.04533001245330012,0.0024306996909736634,6.687883400212167e-4,0.0012176560121765602,0.05471611088049444
3-0,60,20,3015,163,33,4,7,0,0.018170805572380374,0.0060569351907934586,0.9130829800121139,0.049364021804966685,0.009993943064809207,0.0012113870381586917,0.0021199273167777106,0,2.767400027674e-4,9.224666758913334e-5,0.013906185139061852,7.518103408514367e-4,1.5220700152207003e-4,1.8449333517826667e-5,3.228633365619667e-5,0
3-1,680,248,4201,2137,216,24,41,5,0.09004237288135593,0.03283898305084746,0.5562764830508474,0.2829713983050847,0.028601694915254237,0.0031779661016949155,0.005429025423728814,6.620762711864406e-4,0.0031363866980305337,0.0011438586781052534,0.01937641252709746,0.009856556431898898,9.9626400996264e-4,1.1069600110696001e-4,1.8910566855772336e-4,2.3061666897283336e-5
3-2,2093,635,8161,6925,562,56,147,7217,0.08113661032718252,0.024616219568925415,0.31636687858582724,0.26845247325166693,0.021786323461001705,0.0021708792060784617,0.005698557915955962,0.2797720576833618,0.009653613763202805,0.0029288316959549835,0.03764125270974586,0.03194040865273742,0.002592131359254647,2.5829066924957334e-4,6.7801300678013e-4,0.03328720999953877
